vacancy,min_salary,max_salary,currency,url,source,employer
Специалист по IT,,,,https://hhcdn.ru/click?b=195808&place=35,hh.ru, ГК ОхотАктив
Системный аналитик,,,,https://hhcdn.ru/click?b=195207&place=36,hh.ru, СКБ Контур
SQL Server DBA Bi Developer,,,,https://spb.hh.ru/vacancy/39706709?query=sql,hh.ru, ARGO - торговая сеть
Разработчик SQL,,,,https://spb.hh.ru/vacancy/39676086?query=sql,hh.ru, Сбер для экспертов
Инженер SQL (Oracle),,,,https://spb.hh.ru/vacancy/39836897?query=sql,hh.ru,"ПАО МегаФон, IT"
Младший инженер PL/SQL,,,,https://spb.hh.ru/vacancy/39422512?query=sql,hh.ru,"ПАО МегаФон, IT"
"Старший инженер подразделения ""Управление мастер-данными""",,,,https://spb.hh.ru/vacancy/38146614?query=sql,hh.ru,"ПАО МегаФон, IT"
Full Stack ASP.NET Developer,,,,https://spb.hh.ru/vacancy/39343865?query=sql,hh.ru, Scand
Руководитель проектов 1C,2000000.0,5000000.0, сум,https://spb.hh.ru/vacancy/39926550?query=sql,hh.ru, MERIDIAN TEMPO
Senior Ruby-on-Rails Developer (RnD),,,,https://spb.hh.ru/vacancy/39372459?query=sql,hh.ru, SoftSwiss
Senior Golang Developer (R&D),,,,https://spb.hh.ru/vacancy/39372495?query=sql,hh.ru, SoftSwiss
Senior Golang Developer (R&D),,,,https://spb.hh.ru/vacancy/39372496?query=sql,hh.ru, SoftSwiss
Старший .Net разработчик с опытом Angular,180000.0,230000.0,руб.,https://spb.hh.ru/vacancy/39613755?query=sql,hh.ru, Prosmar AS
Web-аналитик,,,,https://spb.hh.ru/vacancy/39359090?query=sql,hh.ru, SOKOLOV
BackEnd Software Engineer,800.0,1800.0, USD,https://spb.hh.ru/vacancy/39940981?query=sql,hh.ru,ООО Newmax Technologies
Преподаватель по Back-end (PHP) веб-разработке,,,,https://spb.hh.ru/vacancy/39929363?query=sql,hh.ru,ООО АйтиДизайн
Разработчик бизнес-приложений,,,,https://spb.hh.ru/vacancy/35277700?query=sql,hh.ru,"ПАО МегаФон, IT"
Главный аналитик отдела закупок / Специалист по планированию пополнения,,,,https://spb.hh.ru/vacancy/38672105?query=sql,hh.ru, Л'Этуаль
Senior PHP Developer,,,,https://spb.hh.ru/vacancy/39415392?query=sql,hh.ru, APALON
Database Developer (PostgreSQL),,,,https://spb.hh.ru/vacancy/39930086?query=sql,hh.ru, СофтКлуб
Программист 1С,120000.0,170000.0,руб.,https://spb.hh.ru/vacancy/37619066?query=sql,hh.ru,ООО Финансово-правовой альянс
Программист (Middle level),,,,https://spb.hh.ru/vacancy/39895423?query=sql,hh.ru,ООО Открытые системы
Senior Financial Analyst,,,,https://spb.hh.ru/vacancy/39940770?query=sql,hh.ru, Devoted Studios
Junior QA Engineer (Trainee),,,,https://spb.hh.ru/vacancy/39897081?query=sql,hh.ru, СофтКлуб
Senior .NET/C# developer,,,,https://spb.hh.ru/vacancy/39924946?query=sql,hh.ru,ООО Фаброс
Middle/Senior Python Developer,,,,https://spb.hh.ru/vacancy/39907453?query=sql,hh.ru,ООО Кайриба Инжиниринг
Backend middle developer,,,,https://spb.hh.ru/vacancy/39937091?query=sql,hh.ru,ТОО I-Con
QA engineer in Game,,,,https://spb.hh.ru/vacancy/39924934?query=sql,hh.ru,ООО Фаброс
PHP-разработчик (junior/middle),,,,https://spb.hh.ru/vacancy/38060900?query=sql,hh.ru, Леди и Джентльмен
React Native Frontend Developer,,,,https://spb.hh.ru/vacancy/39683909?query=sql,hh.ru," СофтФасад,ООО"
Golang engineer (FinTech),,,,https://spb.hh.ru/vacancy/39886111?query=sql,hh.ru, SoftSwiss
PHP developer,,,,https://spb.hh.ru/vacancy/39435898?query=sql,hh.ru,ООО ДИДЖИТАЛ ГУРУ
Senior QA Automation Engineer (Cyprus),,,,https://spb.hh.ru/vacancy/36849279?query=sql,hh.ru, Wisebits
Product Analyst (Web-analyst),,,,https://spb.hh.ru/vacancy/39888327?query=sql,hh.ru, Wisebits
Senior/Lead WPF программист,,,,https://spb.hh.ru/vacancy/38132261?query=sql,hh.ru, SaM Solutions Самсолюшнс
Data Engineer (Information Retrieval Team),,,,https://spb.hh.ru/vacancy/39342560?query=sql,hh.ru,ООО IHS Global
Data Engineer (Information Retrieval Team),,,,https://spb.hh.ru/vacancy/39362155?query=sql,hh.ru,ООО IHS Global
WPF программист,,,,https://spb.hh.ru/vacancy/37849078?query=sql,hh.ru, SaM Solutions Самсолюшнс
Java developer,,,,https://spb.hh.ru/vacancy/37834936?query=sql,hh.ru, Syberry CIS
DEVOPS Engineer,,,,https://spb.hh.ru/vacancy/39910693?query=sql,hh.ru, Targetprocess LLC
Программист Java,,,,https://spb.hh.ru/vacancy/39856893?query=sql,hh.ru,УП АГАТракПартс
Разработчик/Администратор баз данных,,,,https://spb.hh.ru/vacancy/39816601?query=sql,hh.ru," Small, ТМ (Скиф Сауда, ТОО)"
Middle/Senior Data Analyst,,,,https://spb.hh.ru/vacancy/39859690?query=sql,hh.ru,ООО Рингл технолоджис
Principal Software Developer (FraudOne project),,,,https://spb.hh.ru/vacancy/39428590?query=sql,hh.ru, Кофакс
Ведущий PHP разработчик (Кипр),,,,https://spb.hh.ru/vacancy/36884924?query=sql,hh.ru, Wisebits
QA Automation Engineer (Fintech),,,,https://spb.hh.ru/vacancy/39886093?query=sql,hh.ru, SoftSwiss
Back-end/Java Developer,,,,https://spb.hh.ru/vacancy/39873639?query=sql,hh.ru, IBA Group
Аналитик мобильного приложения,,,,https://spb.hh.ru/vacancy/39840770?query=sql,hh.ru," ЦУМ, Интернет-магазин"
Разработчик Oracle,,,,https://spb.hh.ru/vacancy/39870795?query=sql,hh.ru,"ПАО МегаФон, IT"
"Технический специалист, IT (CyberSport)",70000.0,120000.0,руб.,https://spb.hh.ru/vacancy/39877847?query=sql,hh.ru,ООО Колизеум
Разработчик хранилища данных и отчетности (DWH/ BI),,,,https://spb.hh.ru/vacancy/37697076?query=sql,hh.ru," 585, Холдинг"
Инженер-программист C++,,,,https://spb.hh.ru/vacancy/39868567?query=sql,hh.ru, Technoton
