vacancy,min_salary,max_salary,currency,url,source,employer
Аналитик данных,,,,https://spb.hh.ru/vacancy/38340653?query=sql,https://www.hh.ru,ООО РСХБ-Интех
Разработчик витрин данных,,,,https://spb.hh.ru/vacancy/39420606?query=sql,https://www.hh.ru,ПАО СКБ-Банк
Java Developer,,,,https://spb.hh.ru/vacancy/39810600?query=sql,https://www.hh.ru, ДомКлик
Программист 1С,,,,https://spb.hh.ru/vacancy/39489695?query=sql,https://www.hh.ru," Оптимист-Оптика, Сеть салонов"
Web QA,,,,https://spb.hh.ru/vacancy/37101487?query=sql,https://www.hh.ru,ООО Mercury Development
Software Engineer (C/C++),,,,https://spb.hh.ru/vacancy/39616852?query=sql,https://www.hh.ru,ООО SimLabs
Инженер-программист,80000.0,100000.0,руб.,https://spb.hh.ru/vacancy/39916536?query=sql,https://www.hh.ru, Глобал Принтинг Системс
Senior разработчик .NET/C#,,,,https://spb.hh.ru/vacancy/38532197?query=sql,https://www.hh.ru, РЕЛЭКС
PHP-разработчик,,,,https://spb.hh.ru/vacancy/39802762?query=sql,https://www.hh.ru, Group-IB
Системный администратор,60000.0,80000.0,руб.,https://spb.hh.ru/vacancy/39850184?query=sql,https://www.hh.ru, Технологии Прикосновения
Программист 1С,,,,https://spb.hh.ru/vacancy/39901684?query=sql,https://www.hh.ru,ООО Мед плюс
Аналитик BI,,,,https://spb.hh.ru/vacancy/38321719?query=sql,https://www.hh.ru, Navicon
Ведущий программист С#,,,,https://spb.hh.ru/vacancy/39969889?query=sql,https://www.hh.ru," Мираторг, Агропромышленный холдинг"
Senior Java Developer,180000.0,280000.0,руб.,https://spb.hh.ru/vacancy/39903166?query=sql,https://www.hh.ru, Propzmedia
Риск-аналитик,,,,https://spb.hh.ru/vacancy/39956130?query=sql,https://www.hh.ru, Филиал Частной акционерной компании Экспириан СНГ Лимитед
Инженер-программист (отдел разработки ПО),,,,https://spb.hh.ru/vacancy/39445576?query=sql,https://www.hh.ru, ПРОМЕТ
Ведущий системный аналитик (Axapta),,,,https://spb.hh.ru/vacancy/39589100?query=sql,https://www.hh.ru, Hoff
Аналітик /фахівець адміністрування В2,,,,https://spb.hh.ru/vacancy/39748470?query=sql,https://www.hh.ru, Пиреус Банк МКБ
Технический специалист по внедрению и сопровождению ПО,250000.0,250000.0, KZT,https://spb.hh.ru/vacancy/39745086?query=sql,https://www.hh.ru,ТОО Documentolog
"Fullstack-разработчик (C#, .NET, JavaS‎cript middle)",,,,https://spb.hh.ru/vacancy/39177067?query=sql,https://www.hh.ru, Rubius
